Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,28,asymmetric,0.1,-6.219357377841827,-11.80691392444084,0.35848569144903736,-10.521920012693068,-0.3080278160116315
100% Corpus,28,asymmetric,0.5,-6.225084388753175,-11.410508144770974,0.3940778956845428,-10.458122133163126,-0.3048830945075435
100% Corpus,28,asymmetric,1,-6.301383080607632,-10.909766332314348,0.42258441327282775,-9.981805942220408,-0.2751460564813418
100% Corpus,28,asymmetric,symmetric,-6.410465088084067,-11.93653002796257,0.3692653794516506,-10.662307904464566,-0.31459580602594245
100% Corpus,31,0.01,0.01,-6.718900112523068,-11.85086424303385,0.39635468743781604,-10.70112825838847,-0.313848791636749
100% Corpus,31,0.01,0.1,-6.1290293729943714,-11.93497738023608,0.405028937137317,-10.681180325952344,-0.3144574806107617
100% Corpus,31,0.01,0.5,-6.1701864243911615,-12.15322711468872,0.3999515240647658,-10.740905031457697,-0.318076787561172
100% Corpus,31,0.01,1,-6.267447512450931,-11.983535473604897,0.4224465953148603,-10.58852003111683,-0.31247123524649895
100% Corpus,31,0.01,symmetric,-6.320480880917882,-11.831055426363957,0.39832032488019814,-10.587742290652931,-0.3098635530929909
100% Corpus,31,0.1,0.01,-6.911014230353591,-11.666485020345664,0.4084067009024853,-10.646049590438597,-0.31222939818693785
100% Corpus,31,0.1,0.1,-6.301900784063428,-11.783956195594609,0.4055238084316969,-10.73017483148566,-0.31600187613074293
100% Corpus,31,0.1,0.5,-6.3946365951507085,-12.20658781824021,0.41523335282713686,-10.890623985315266,-0.3264411843256183
